Date,AAPL,AMZN,GLD,GOOG,JNJ,JPM,META,MSFT,TSLA,XOM
2019-03-25,45.211463928222656,88.71299743652344,124.91999816894531,59.36880111694336,115.498779296875,83.26972198486328,165.50994873046875,111.15105438232422,17.3613338470459,59.97047424316406
2019-03-26,44.74435043334961,89.18800354003906,124.30000305175781,58.951778411865234,117.1558609008789,84.10301971435547,166.8934326171875,111.3872299194336,17.851333618164062,60.75086212158203
2019-03-27,45.14679718017578,88.28500366210938,123.6500015258789,58.37451171875,117.26579284667969,83.81683349609375,165.0919189453125,110.3102798461914,18.32200050354004,60.2856330871582
2019-03-28,45.2066764831543,88.6709976196289,121.9000015258789,58.149078369140625,117.41796875,84.76797485351562,164.77345275878906,110.4614486694336,18.57466697692871,60.58578872680664
2019-03-29,45.501312255859375,89.0374984741211,122.01000213623047,58.38894271850586,118.18731689453125,85.20565032958984,165.9080810546875,111.41556549072266,18.657333374023438,60.63079833984375
2019-04-01,45.810333251953125,90.70950317382812,121.52999877929688,59.43996810913086,117.50247192382812,88.07587432861328,167.90866088867188,112.4358139038086,19.278667449951172,61.32865524291992
2019-04-02,46.47625732421875,90.6989974975586,121.9800033569336,59.741539001464844,116.42877960205078,88.49671173095703,173.38282775878906,112.59639739990234,19.058666229248047,61.06602478027344
2019-04-03,46.79485321044922,91.03500366210938,121.80000305175781,60.01176071166992,115.97219848632812,88.67347717285156,172.72593688964844,113.3332748413086,19.45400047302246,60.705841064453125
2019-04-04,46.87628936767578,90.94300079345703,122.11000061035156,60.46361541748047,114.61949920654297,89.53008270263672,175.19430541992188,112.75700378417969,17.851999282836914,61.568782806396484
2019-04-05,47.190093994140625,91.86399841308594,121.9800033569336,60.072959899902344,115.13519287109375,89.31805419921875,174.89572143554688,113.25768280029297,18.33066749572754,61.89894485473633
2019-04-08,47.932674407958984,92.49299621582031,122.51000213623047,59.90825271606445,115.10140228271484,89.60641479492188,174.1094207763672,113.29548645019531,18.213333129882812,62.281639099121094
2019-04-09,47.78895568847656,91.79199981689453,123.1500015258789,59.580299377441406,114.61949920654297,88.94488525390625,176.7469940185547,112.68143463134766,18.15399932861328,61.47872543334961
2019-04-10,48.05724334716797,92.36650085449219,123.52999877929688,59.82464599609375,114.62793731689453,89.343505859375,176.98585510253906,113.54109191894531,18.40399932861328,61.201080322265625
2019-04-11,47.657196044921875,92.20349884033203,121.94999694824219,59.94706344604492,114.31513977050781,90.09837341308594,176.6773223876953,113.67334747314453,17.89466667175293,61.49374771118164
2019-04-12,47.638038635253906,92.15299987792969,121.83000183105469,60.606441497802734,114.96609497070312,94.3221206665039,178.25985717773438,114.25904083251953,17.84666633605957,60.72084426879883
2019-04-15,47.724273681640625,92.24349975585938,121.5999984741211,60.767181396484375,115.42266082763672,93.24496459960938,178.80728149414062,114.353515625,17.7586669921875,60.518245697021484
2019-04-16,47.729068756103516,93.1520004272461,120.51000213623047,61.067256927490234,116.69087982177734,94.22881317138672,178.03094482421875,114.08899688720703,18.224000930786133,60.93096160888672
2019-04-17,48.658504486083984,93.24099731445312,120.27999877929688,61.52558517456055,117.11359405517578,96.94287109375,177.9413604736328,115.03369140625,18.082000732421875,61.10353469848633
2019-04-18,48.83335876464844,93.08450317382812,120.37000274658203,61.52708053588867,116.26812744140625,96.23042297363281,177.44369506835938,116.54517364501953,18.21733283996582,60.87842559814453
2019-04-22,48.993858337402344,94.3655014038086,120.37000274658203,62.147640228271484,116.53023529052734,96.34918212890625,180.5888671875,116.91358947753906,17.516666412353516,62.206607818603516
2019-04-23,49.70051193237305,96.1884994506836,120.12000274658203,62.92943572998047,118.28031158447266,96.4679183959961,182.9179229736328,118.50064849853516,17.593332290649414,62.56678771972656
2019-04-24,49.623863220214844,95.0875015258789,120.47000122070312,62.50395202636719,117.6884994506836,96.30677032470703,181.72352600097656,118.09446716308594,17.243999481201172,61.35118103027344
2019-04-25,49.17351531982422,95.11250305175781,120.56999969482422,62.874698638916016,118.0689468383789,96.3576431274414,192.3534393310547,122.00542449951172,16.5086669921875,61.69635772705078
2019-04-26,48.93876647949219,97.53150177001953,121.37000274658203,63.30914306640625,118.69461822509766,97.0870590209961,190.59173583984375,122.70450592041016,15.675999641418457,60.398189544677734
2019-04-29,49.01301193237305,96.92150115966797,120.83000183105469,64.07550811767578,118.22960662841797,98.48649597167969,193.86630249023438,122.59111785888672,16.097999572753906,60.00799560546875
2019-04-30,48.069217681884766,96.32599639892578,121.19999694824219,59.14386749267578,119.37944030761719,98.42713165283203,192.49276733398438,123.37521362304688,15.912667274475098,60.24059295654297
2019-05-01,50.428733825683594,95.57599639892578,120.4000015258789,58.1286735534668,120.01353454589844,97.67228698730469,192.12451171875,120.80567169189453,15.600666999816895,59.03248977661133
2019-05-02,50.10055160522461,95.04100036621094,119.94000244140625,57.85646438598633,119.44707489013672,97.88432312011719,191.62684631347656,119.22807312011719,16.273332595825195,57.9969596862793
2019-05-03,50.72336959838867,98.12300109863281,120.6500015258789,58.99059295654297,120.06424713134766,98.48649597167969,194.55307006835938,121.76925659179688,17.00200080871582,58.13203048706055
2019-05-06,49.94005584716797,97.52749633789062,120.80999755859375,59.18915557861328,120.13188934326172,97.61289978027344,192.9705352783203,121.06073760986328,17.022666931152344,57.87690353393555
2019-05-07,48.59381866455078,96.05000305175781,121.20999908447266,58.428260803222656,118.33952331542969,96.01840209960938,188.87982177734375,118.57623291015625,16.470666885375977,57.56925964355469
2019-05-08,48.6034049987793,95.88849639892578,120.91000366210938,58.03860092163086,118.18731689453125,95.50950622558594,188.65087890625,118.56678009033203,16.32266616821289,57.659297943115234
2019-05-09,48.081199645996094,94.99349975585938,121.19999694824219,57.84502029418945,117.29113006591797,95.43316650390625,187.76507568359375,118.55735778808594,16.131999969482422,57.606754302978516
2019-05-10,47.415103912353516,94.4990005493164,121.43000030517578,57.9390754699707,117.56169891357422,95.4247055053711,187.45651245117188,120.09717559814453,15.968000411987305,58.107704162597656
2019-05-13,44.659366607666016,91.13400268554688,122.66999816894531,56.33467483520508,115.99755859375,92.82937622070312,180.68841552734375,116.52628326416016,15.133999824523926,57.462554931640625
2019-05-14,45.3663330078125,92.00599670410156,122.45999908447266,55.757904052734375,115.67632293701172,93.5672607421875,179.88221740722656,117.82994079589844,15.487333297729492,57.538448333740234
2019-05-15,45.90979766845703,93.55750274658203,122.38999938964844,57.93608093261719,115.75238037109375,93.21102142333984,185.396240234375,119.4892578125,15.463333129882812,57.963497161865234
2019-05-16,45.707794189453125,95.37850189208984,121.51000213623047,58.67110824584961,116.85151672363281,94.40691375732422,186.11285400390625,122.2484359741211,15.222000122070312,57.95589065551758
2019-05-17,45.44810485839844,93.44999694824219,120.6500015258789,57.841041564941406,117.18971252441406,93.94894409179688,184.4307861328125,121.43301391601562,14.0686674118042,57.61435317993164
2019-05-20,44.02695083618164,92.94850158691406,120.63999938964844,56.674068450927734,117.02906036376953,94.44085693359375,181.8628692626953,119.67888641357422,13.690667152404785,57.60676574707031
2019-05-21,44.8709716796875,92.8759994506836,120.36000061035156,57.21052169799805,116.77539825439453,94.76315307617188,183.95303344726562,120.32364654541016,13.67199993133545,57.872413635253906
2019-05-22,43.9524040222168,92.98400115966797,120.23999786376953,57.29960250854492,117.31652069091797,93.9913330078125,184.45069885253906,121.0537338256836,12.84866714477539,57.348724365234375
2019-05-23,43.202144622802734,90.77400207519531,121.16999816894531,56.76961135864258,118.18731689453125,92.14238739013672,180.02154541015625,119.64095306396484,13.03266716003418,56.005306243896484
2019-05-24,43.036224365234375,91.16400146484375,121.30000305175781,56.406333923339844,118.19583892822266,93.04988861083984,180.21066284179688,119.69783020019531,12.708666801452637,56.24059295654297
2019-05-28,42.858272552490234,91.82150268554688,120.83000183105469,56.4401741027832,116.68063354492188,92.04060363769531,183.44541931152344,119.62201690673828,12.579999923706055,55.10970687866211
2019-05-29,42.65388107299805,90.95950317382812,120.87000274658203,55.55984115600586,111.7944564819336,91.78616333007812,181.3353729248047,118.46524810791016,12.657333374023438,54.7681770324707
2019-05-30,42.87510681152344,90.81600189208984,121.69000244140625,55.63399124145508,112.45843505859375,90.80232238769531,182.15151977539062,119.21428680419922,12.54800033569336,54.62397766113281
2019-05-31,42.09839630126953,88.75350189208984,123.33000183105469,54.92136764526367,111.6412124633789,89.86934661865234,176.63751220703125,117.27052307128906,12.343999862670898,53.71317672729492
2019-06-03,41.67278289794922,84.6344985961914,125.11000061035156,51.56725311279297,111.88809204101562,90.29342651367188,163.37997436523438,113.62950897216797,11.9313325881958,54.5556526184082
2019-06-04,43.197330474853516,86.47799682617188,125.1500015258789,52.40428924560547,113.83746337890625,93.07533264160156,166.7142791748047,116.77747344970703,12.90666675567627,55.853511810302734
2019-06-05,43.89468002319336,86.92500305175781,125.47000122070312,51.86534118652344,114.39076232910156,93.4061050415039,167.38113403320312,119.3091049194336,13.105999946594238,55.390541076660156
2019-06-06,44.539127349853516,87.71800231933594,125.87999725341797,51.97084045410156,116.3486328125,93.60967254638672,167.54037475585938,121.19596862792969,13.729999542236328,56.399986267089844
2019-06-07,45.724632263183594,90.20149993896484,126.58999633789062,53.050724029541016,117.94047546386719,92.58341217041016,172.5368194580078,124.59044647216797,13.633333206176758,56.60491180419922
2019-06-10,46.30897521972656,93.03150177001953,125.33000183105469,53.764347076416016,118.34056091308594,93.58423614501953,173.9999542236328,125.72825622558594,14.192000389099121,56.85537338256836
2019-06-11,46.84520721435547,93.18499755859375,125.18000030517578,53.68174362182617,118.98751068115234,93.87260437011719,177.26455688476562,125.25415802001953,14.473333358764648,56.80223083496094
